"","state","county","Biden","Trump","cases","cases_avg","cases_avg_per_100k","deaths","deaths_avg","deaths_avg_per_100k","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","retail_recreation","grocery_pharmacy","parks","transit","workplace","residential"
"60","Florida","nassau",15564,42566,3,8.57,9.67,0,0.14,0.16,1,1,1,0,1,2,0,0,-11.1612903225806,2.70967741935484,7.48387096774194,-40.9523809523809,-19.5806451612903,3.87096774193548
"61","Florida","okaloosa",34248,79798,67,59,28,0,0,0,1,1,1,0,1,2,0,0,0.709677419354839,1.45161290322581,57.258064516129,9.70967741935484,-16.3870967741935,3.54838709677419
"62","Florida","okeechobee",4390,11470,6,5.43,12.87,1,0.43,1.02,1,1,1,0,1,2,0,0,-18.9677419354839,-17.3225806451613,-44.9354838709677,-37.9677419354839,-24.3870967741935,2.67741935483871
"63","Florida","orange",395014,245398,360,264.86,19.01,0,2.14,0.15,1,1,1,0,1,2,0,0,-28.6451612903226,-18.258064516129,-34.6451612903226,-50.4193548387097,-32.6774193548387,9.16129032258065
"64","Florida","osceola",97297,73480,90,74.29,19.77,5,2,0.53,1,1,1,0,1,2,0,0,-21.3548387096774,-13,-21.0645161290323,-33.8387096774194,-27.6451612903226,7.45161290322581
"65","Florida","palm beach",433572,334711,360,334.14,22.32,4,4.86,0.32,1,1,1,0,1,2,0,0,-23.6451612903226,-15.1290322580645,-28.4193548387097,-40.5161290322581,-27.0322580645161,8.35483870967742
"66","Florida","pasco",119073,179621,95,75,13.54,0,1.14,0.21,1,1,1,0,1,2,0,0,-11.0645161290323,-12.1612903225806,-22.9032258064516,-14.9677419354839,-23.3225806451613,5.06451612903226
"67","Florida","pinellas",277450,276209,138,151.86,15.58,3,1.43,0.15,1,1,1,0,1,2,0,0,-22.7096774193548,-15.5483870967742,1.58064516129032,-27.7741935483871,-26.0967741935484,6.29032258064516
"68","Florida","polk",145049,194586,120,109,15.04,8,2.57,0.35,1,1,1,0,1,2,0,0,-16.8064516129032,-8.64516129032258,-13.5483870967742,-9.32258064516129,-23.5806451612903,5.51612903225806
"69","Florida","putnam",10527,25514,10,9.14,12.27,0,0,0,1,1,1,0,1,2,0,0,-7.64516129032258,-5.80645161290323,1,NA,-12.1612903225806,3
"70","Florida","santa rosa",27612,77385,25,25.57,13.87,0,0.14,0.08,1,1,1,0,1,2,0,0,-1.45161290322581,2.61290322580645,6.83870967741935,NA,-17.9354838709677,4.19354838709677
"71","Florida","sarasota",120110,148370,58,72.43,16.7,1,1.33,0.31,1,1,1,0,1,2,0,0,-27.5483870967742,-18.0967741935484,-27.9677419354839,-43.0322580645161,-28.6129032258065,4.12903225806452
"72","Florida","seminole",132528,125241,64,61.57,13.05,2,1,0.21,1,1,1,0,1,2,0,0,-19.0322580645161,-11.0645161290323,-8.09677419354839,-22.1935483870968,-30.9032258064516,9.09677419354839
"73","Florida","st. johns",63850,110946,62,56.86,21.48,0,0.71,0.27,1,1,1,0,1,2,0,0,-8.29032258064516,-5.51612903225806,-0.0967741935483871,-1.06451612903226,-23.4516129032258,6.54838709677419
"74","Florida","st. lucie",84137,86831,52,40.57,12.36,0,0.71,0.22,1,1,1,0,1,2,0,0,-14.5806451612903,-9.80645161290323,-20.3870967741935,-6.87096774193548,-19.4516129032258,5.80645161290323
"75","Florida","sumter",29341,62761,24,17.43,13.16,0,0.33,0.25,1,1,1,0,1,2,0,0,-24.5806451612903,-14.1612903225806,-44.5161290322581,-3.7741935483871,-24.3870967741935,3.41935483870968
"76","Florida","suwannee",4485,16410,6,7.29,16.4,0,0.14,0.32,1,1,1,0,1,2,0,0,-6,0.774193548387097,15.7272727272727,-63,-17.0645161290323,1.67741935483871
"77","Florida","taylor",2299,7751,7,7,32.45,0,0.29,1.32,1,1,1,0,1,2,0,0,-8.42105263157895,-0.307692307692308,NA,NA,-13.8387096774194,NA
"78","Florida","union",1053,5133,8,4.71,30.94,0,0.29,1.88,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"79","Florida","volusia",130575,173821,97,85.29,15.41,0,0.86,0.15,1,1,1,0,1,2,0,0,-15.7741935483871,-8.61290322580645,-4.03225806451613,-29.1612903225806,-23.4193548387097,4.87096774193548
